City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,ridder,50.355,83.5133,8.44,98,98,1.05,KZ,1713561372
153,sur,22.5667,59.5289,26.49,61,100,3.89,OM,1713561372
154,cidreira,-30.1811,-50.2056,20.99,75,65,3.53,BR,1713561372
155,moussoro,13.6408,16.4901,34.22,11,85,4.61,TD,1713561373
156,tashtyp,52.7939,89.8983,4.96,85,46,3.94,RU,1713561373
157,east london,-33.0153,27.9116,20.9,89,7,3.24,ZA,1713561373
158,niigata,37.9022,139.0236,10.51,81,63,4.88,JP,1713561373
159,opuwo,-18.0607,13.84,23.56,33,2,2.67,NA,1713561374
160,hammerfest,70.6634,23.6821,-2.75,50,0,4.63,NO,1713561374
161,selfoss,63.9331,-20.9971,2.8,96,100,4.94,IS,1713561374
162,lorengau,-2.0226,147.2712,28.06,76,27,3.05,PG,1713561374
163,nova sintra,14.8667,-24.7167,24.55,76,11,12.21,CV,1713561375
164,katsuren-haebaru,26.3369,127.8719,22.27,76,40,5.14,JP,1713561375
165,crane,31.3974,-102.3501,16.93,58,100,5.56,US,1713561375
166,maricopa,33.0581,-112.0476,34.55,10,0,3.09,US,1713561375
167,waitara,-38.925,174.25,12.78,90,100,5.0,NZ,1713561376
168,kapuskasing,49.4169,-82.4331,6.9,53,100,5.62,CA,1713561376
169,siwa oasis,29.2041,25.5195,25.92,29,28,4.18,EG,1713561376
170,freetown,8.484,-13.2299,27.58,90,78,4.46,SL,1713561376
171,tibu,8.639,-72.7358,29.61,69,100,0.8,CO,1713561377
172,san angelo,31.4638,-100.437,19.67,58,100,5.14,US,1713561377
173,northam,51.0333,-4.2167,9.78,85,0,5.24,GB,1713561377
174,ak-suu,42.4995,78.527,8.29,55,100,2.45,KG,1713561377
175,dalandzadgad,43.5708,104.425,8.84,54,2,6.7,MN,1713561378
176,sovetskiy,61.3614,63.5842,-1.73,86,100,1.34,RU,1713561378
177,choibalsan,48.0667,114.5,7.16,28,100,6.29,MN,1713561378
178,leer,53.2316,7.461,7.74,80,98,1.34,DE,1713561379
179,cooper's town,26.8667,-77.5167,23.39,64,40,0.59,BS,1713561379
180,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,95,75,0.89,RU,1713561379
181,dunedin,-45.8742,170.5036,9.89,95,97,0.93,NZ,1713561379
182,nioki,-2.7167,17.6833,21.59,97,100,1.15,CD,1713561380
183,yeed,4.55,43.0333,28.76,66,56,6.69,SO,1713561380
184,oranjemund,-28.55,16.4333,15.51,90,72,1.88,NA,1713561380
185,villa gesell,-37.2639,-56.973,22.25,71,71,6.43,AR,1713561380
186,ust-nera,64.5667,143.2,-10.73,96,71,2.12,RU,1713561381
187,ambovombe,-25.1667,46.0833,21.42,80,10,2.7,MG,1713561381
188,lata,40.1629,-8.3327,16.62,95,100,0.81,PT,1713561381
189,kilju,40.9642,129.3278,8.7,78,97,2.66,KP,1713561381
190,praia da vitoria,38.7333,-27.0667,17.09,91,99,4.0,PT,1713561382
191,new norfolk,-42.7826,147.0587,7.06,95,11,1.62,AU,1713561382
192,guajara mirim,-10.7828,-65.3394,30.04,68,88,0.84,BR,1713561382
193,taksimo,56.3444,114.8794,-1.56,79,100,0.26,RU,1713561382
